id,Noun,Valence,Noun_English,Noun_German,Noun_Serbian,Noun_Czech,Noun_Russian,Noun_Albanian
109,dependency,neutral,dependency,Abhängigkeit,Zavisnost,Závislost,зависимость,varur
110,infantility,negative,infantility,Unreife,Detinjastost,Dětinskost,незрелость,fëmijëri
111,uncertainty,neutral,uncertainty,Ungewissheit ,Nesigurnost,Nejistota,неуверенность,pasiguri
112,seeking of approval,negative,seeking of approval,Anerkennungsstreben,Potreba za odobravanjem,Touha po uznání,поиск одобрения,kërkesë për miratim
113,subordinacy to others,neutral,subordinacy to others,Unterordnung,Podređenost drugima,Podřízenost druhým,подчинение,Nënshtrimi ndaj të tjerëve
114,insecurity,negative,insecurity,Unsicherheit,Nesigurnost,Nedostatek sebedůvěry,ненадежность,pasiguri
115,demandingness,neutral,demandingness,Anspruch,Zahtevnost,Požadovačnost,требовательность,kërkesë
116,controllingness,negative,controllingness,Kontrollbedürfnis,Sklonost kontroli,Potřeba kontroly,контроль,kontrollor
117,bossiness,negative,bossiness,Bestimmermentalittät (wegen Z. 33),Sklonost naređivanju,Panovačnost,властность,urdhërues
118,dominancy,negative,dominancy,Dominanz,Dominantnost,Dominance,доминирование,dominues
119,intimidation,negative,intimidation,Einschüchterung,Zastrašivanje,Zastrašování,внушение страха,frikësím
120,feeling of superiority,negative,feeling of superiority,Überlegenheitsgefühl,Superiornost,Pocit nadřazenosti,чувство превосходства,superioritet
121,forcefulness,neutral,forcefulness,Eindringlichkeit,Moć,Důraznost,воля,fuqi
122,dictatorialness,negative,dictatorialness,Herrschsucht,Diktatorsko,Diktátorství,авторитарность,diktator
123,aggressiveness,negative,aggressiveness,Aggressivität,Agresivnost,Agresivita,агрессивность,agresion
124,stubbornness,neutral,stubbornness,Sturheit,Tvrdoglavost,Tvrdohlavost,упрямость,kokëfortësi
125,arrogancy,negative,arrogancy,Arroganz,Arogancija,Arogance,высокомерие,arrogancë
126,boastfulness,negative,boastfulness,Angeberei,Hvalisavost,Chvástavost,хвастливость,mburrja
127,decisiveness,neutral,decisiveness,Entschiedenheit,Ubedljivost,Rozhodnost,решительность,vendosmëri
128,ambitiousness,positive,ambitiousness,Ehrgeiz ,Ambicioznost,Ctižádostivost,амбициозность,ambicie
129,competitiveness,neutral,competitiveness,Konkurrenzdenken,Takmičarski duh,Soutěživost,соревновательность,garues
130,competency,positive,competency,Kompetenz,Kompetentnost,Kompetence,компетентность,kompetencë
131,confidence,positive,confidence,Zuversicht,Samouverenost,Sebedůvěra,уверенность,siguri
132,leadership abilities,positive,leadership abilities,Führungskompetenz,Poseduje liderske sposobnosti,Vůdčí schopnosti,лидерские способности,aftësia e udhëheqjes
133,efficiency,positive,efficiency,Effizienz,Efikasnost,Účinnost,эффективность,efikasitet
134,determination,positive,determination,Entschlossenheit,Odlučnost,Odhodlání,непреклонность,Përcaktim
135,courageousness,positive,courageousness,Mut,Hrabrost,Statečnost,смелость,Guxim
136,activity,positive,activity,Tatendrang,Aktivnost,Aktivita,активность,Aktivitet
137,capability,positive,capability,Fähigkeit,Sposobnost,Schopnost,способность,Aftësia
138,independency,positive,independency,Unabhängigkeit,Samostalnost,Nezávislost,независимость,Pavarësi
139,giftedness in math,positive,giftedness in math,Mathematikbegabung,Talenat za matematiku,Nadání na matematiku,способность к математике,Talent në matematikë
140,giftedness in science,positive,giftedness in science,naturwissenschaftliche Begabung,Talenat za prirodne nauke,Nadání na vědu,способсность к естественным наукам,Talent në shkencë
141,giftedness in humanities,positive,giftedness in humanities,geisteswissenschaftliche Begabung,Talenat za društvene nauke,Nadání na humanitní obory,способность к гуманитарным наукам,Talent në shkencat humane
142,linguistic giftedness,positive,linguistic giftedness,Sprachbegabung,Talenat za jezike,Jazykové nadání,лингвистические способности,Talent në gjuhë

